image,xmin,ymin,xmax,ymax
ISIC_0026439_bb,0,0,1,1
ISIC_0029201_bb,0,0,1,1
ISIC_0029779_bb,0,0,1,1
ISIC_0000000,0.058945697,0.17547505,0.8904675,0.76510525
ISIC_0000001,0.33754715,0.34511405,0.63956714,0.610065
ISIC_0000002,0.23405252,0.25084025,0.85757244,0.8482668
ISIC_0000003,0.23705845,0.16568597,0.8244423,0.8204413
ISIC_0000004,0.053112485,0.14966631,0.816512,0.9400811
ISIC_0000006,0.3289189,0.31476006,0.59961545,0.638337
ISIC_0000007,0.33432665,0.3455314,0.68107516,0.6543002
ISIC_0000008,0.19555901,0.20593719,0.7936031,0.8335493
ISIC_0000009,0.17884026,0.2674081,0.7243423,0.74933
ISIC_0000010,0.33557677,0.33594656,0.5920545,0.69212663
ISIC_0000011,0.22638074,0.2681187,0.730597,0.6946388
ISIC_0000012,0.3577454,0.39628646,0.60917497,0.63449776
ISIC_0000013,0.20821355,0.2533471,0.7646337,0.7435638
ISIC_0000014,0.12188889,0.24335213,0.8006465,0.7630602
ISIC_0000015,0.21001367,0.23563306,0.7079568,0.72393435
ISIC_0000016,0.2384173,0.15153211,0.7268195,0.63751733
ISIC_0000017_downsampled,0.27958405,0.2870464,0.68462753,0.71619767
ISIC_0000018_downsampled,0.11562039,0.25558713,0.7900395,0.7077853
ISIC_0000019_downsampled,0.1292407,0.27133358,0.75942284,0.7939492
ISIC_0000020_downsampled,0.19710755,0.22101985,0.61536944,0.847833
ISIC_0000021_downsampled,0.17094016,0.17936055,0.7283222,0.83954066
ISIC_0000022_downsampled,0.105427526,0.19921008,0.8715535,0.7479621
ISIC_0000023_downsampled,0.36995956,0.2872332,0.8301638,0.68641376
ISIC_0000024_downsampled,0.23095334,0.23479627,0.7508835,0.80521864
ISIC_0000025_downsampled,0.24452929,0.28519708,0.74321246,0.7849108
ISIC_0000026_downsampled,0.07684108,0.19764802,0.9033779,0.794533
ISIC_0000027_downsampled,0.24910168,0.2324603,0.6665459,0.76260537
ISIC_0000028_downsampled,0.18267845,0.31064367,0.7789589,0.7489932
ISIC_0000029_downsampled,0.1922562,0.17908265,0.83414334,0.84536195
ISIC_0000030_downsampled,0.12197944,0.14724658,0.9215562,0.8470077
ISIC_0000031_downsampled,0.14041002,0.23966797,0.8221092,0.8019591
ISIC_0000032_downsampled,0.20934549,0.23837788,0.8306401,0.85097295
